"filename", "language", "JSON", "PHP", "comment", "blank", "total"
"c:\Users\juanj\OneDrive\Documentos\whis-core\composer.json", "JSON", 47, 0, 0, 1, 48
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\App.php", "PHP", 0, 110, 40, 24, 174
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Auth\Auth.php", "PHP", 0, 23, 0, 7, 30
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Auth\Authenticatable.php", "PHP", 0, 19, 0, 5, 24
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Auth\Authenticators\Authenticator.php", "PHP", 0, 10, 0, 4, 14
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Auth\Authenticators\SessionAuthenticator.php", "PHP", 0, 18, 1, 7, 26
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Cli\Cli.php", "PHP", 0, 105, 0, 9, 114
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Cli\Commands\MakeController.php", "PHP", 0, 25, 0, 8, 33
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Cli\Commands\MakeMiddleware.php", "PHP", 0, 26, 0, 8, 34
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Cli\Commands\MakeMigration.php", "PHP", 0, 24, 0, 8, 32
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Cli\Commands\MakeModel.php", "PHP", 0, 33, 0, 9, 42
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Cli\Commands\Migrate.php", "PHP", 0, 24, 0, 8, 32
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Cli\Commands\MigrationRollback.php", "PHP", 0, 29, 0, 9, 38
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Cli\Commands\Serve.php", "PHP", 0, 24, 0, 9, 33
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Config\Config.php", "PHP", 0, 7, 22, 3, 32
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Container\Container.php", "PHP", 0, 21, 0, 5, 26
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Container\DependencyInjection.php", "PHP", 0, 76, 9, 18, 103
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Cryptic\Bcryptic.php", "PHP", 0, 13, 0, 4, 17
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Cryptic\Hasher.php", "PHP", 0, 7, 0, 3, 10
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Database\DB.php", "PHP", 0, 10, 0, 4, 14
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Database\Drivers\DatabaseDriver.php", "PHP", 0, 16, 0, 6, 22
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Database\Drivers\PdoDriver.php", "PHP", 0, 39, 3, 9, 51
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Database\Migrations\Migration.php", "PHP", 0, 7, 0, 4, 11
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Database\Migrations\Migrator.php", "PHP", 0, 35, 70, 7, 112
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Database\Model.php", "PHP", 0, 243, 37, 62, 342
"c:\Users\juanj\OneDrive\Documentos\whis-core\src\Exceptions\DatabaseException.php", "PHP", 0, 5, 0, 4, 9
